id	answer	gold
1474.png	is a name of	identification
1474.png	describes	identification
1474.png	names	identification
1479.png	is name	identification
1479.png	describes	identification
1479.png	is a name of	identification
149.png	describe	identification
149.png	is name	identification
149.png	is a name of	identification
1667.png	is a name of	identification
1667.png	is a name of	identification
1667.png	is the name of	identification
1676.png	describe	identification
1676.png	describes	identification
1676.png	names a situation in which one of the participants is	identification
2061.png	is name	identification
2061.png	is name	identification
2061.png	names	identification
266.png	a is name b	identification
266.png	is a name of	identification
266.png	is name	identification
3676.png	describes	preparation
3676.png	describes	preparation
3676.png	is name	preparation
372.png	names	class-ascription
372.png	describes	class-ascription
372.png	describes	class-ascription
3972.png	is name	elaboration
3972.png	names	elaboration
3972.png	describes	elaboration
4150.png	is a name of	identification
4150.png	describe	identification
4150.png	is name	identification
4194.png	describes	identification
4194.png	describes	identification
4194.png	names	identification
4417.png	describe	property-ascription
4417.png	is name	property-ascription
4417.png	names	property-ascription
4481.png	is a name of	identification
4481.png	describes	identification
4481.png	describes	identification
4573.png	names	identification
4573.png	is name	identification
4573.png	describe	identification
465.png	is number	identification
465.png	is a name of	identification
4691.png	is name	identification
4691.png	describe	identification
4691.png	is a name of	identification
4857.png	is name	preparation
4857.png	describe	preparation
4857.png	describes	preparation
638.png	describes	elaboration
638.png	names	elaboration
638.png	describe	elaboration
713.png	names	identification
713.png	describes	identification
713.png	is name	identification
