id	agg_label	gold
1443.png	identification	identification
1541.png	identification	identification
2238.png	elaboration	identification
2364.png	preparation	identification
2529.png	identification	identification
2721.png	identification	identification
2846.png	elaboration	elaboration
287.png	identification	identification
4008.png	preparation	preparation
4546.png	identification	identification
4561.png	identification	class-ascription
4708.png	classascription	property-ascription
4719.png	identification	property-ascription
495.png	identification	identification
675.png	identification	identification
748.png	identification	identification
750.png	identification	identification
776.png	identification	identification
824.png	identification	identification
852.png	identification	identification
